caldt,vwretd,ewretd,sprtrn,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19260224,-0.004304,-0.007171,,-0.021940,-0.018488,-0.010335,-0.013671,-0.006727,-0.005444,-0.006727,-0.003074,-0.004914,-0.003332
19260225,-0.010465,-0.011729,,-0.012174,-0.018609,-0.006490,-0.012653,-0.014637,-0.003712,-0.010379,-0.013571,-0.009479,-0.010377
19260226,-0.013364,-0.017176,,-0.021175,-0.014563,-0.016568,-0.018272,-0.024751,-0.015144,-0.018019,-0.013542,-0.016644,-0.011158
19260227,0.000758,0.000943,,0.007353,0.001282,0.000233,-0.005574,0.001004,-0.003519,-0.002687,0.001218,0.002467,0.000856
19260301,-0.013277,-0.014712,,-0.015409,-0.012047,-0.018787,-0.011383,-0.015828,-0.018358,-0.014775,-0.013651,-0.013740,-0.012524
19260302,-0.025525,-0.027970,,-0.037742,-0.024700,-0.027118,-0.033803,-0.028451,-0.023170,-0.030009,-0.034485,-0.030288,-0.022024
19260303,-0.018591,-0.026268,,-0.030875,-0.035058,-0.030094,-0.018557,-0.031136,-0.025062,-0.031168,-0.027046,-0.018089,-0.015091
19260304,0.041403,0.043254,,0.031586,0.038367,0.041519,0.045853,0.050736,0.033876,0.040839,0.048850,0.045769,0.039074
19260305,0.006305,0.017716,,0.037885,0.017391,0.020130,0.014651,0.015773,0.011826,0.018901,0.010900,0.010227,0.002008
19260306,-0.003078,-0.001583,,-0.008023,0.011230,-0.002932,-0.000029,0.000818,0.000522,-0.002167,-0.004580,-0.004532,-0.003054
19260308,-0.006076,-0.011374,,-0.000128,-0.008705,-0.021040,-0.014294,-0.017373,-0.012921,-0.013058,-0.009634,-0.007645,-0.003214
19260309,0.007683,0.012820,,0.002967,0.012369,0.016860,0.017545,0.021139,0.012384,0.013433,0.012349,0.008544,0.005011
19260310,0.008828,0.010522,,0.018686,0.004779,0.009199,0.014622,0.011227,0.008825,0.008305,0.011215,0.008279,0.008410
19260311,0.006263,0.005776,,0.006144,0.004472,0.003009,0.006711,0.005473,0.007528,0.002789,0.005342,0.006373,0.006709
19260312,0.003438,0.003573,,-0.000923,0.011800,0.000798,0.000042,0.009201,0.001067,0.003164,0.004429,0.003533,0.003250
19260313,-0.015513,-0.015540,,-0.016972,-0.010041,-0.013170,-0.018604,-0.020140,-0.013860,-0.012096,-0.017320,-0.017698,-0.014810
19260315,0.001900,-0.002119,,0.000559,-0.011654,-0.002632,-0.005924,-0.004188,-0.001532,-0.001047,-0.000940,0.000893,0.003764
19260316,-0.002060,0.000117,,-0.001356,0.004818,0.001732,-0.002531,0.000689,0.000234,-0.001013,-0.002741,0.001089,-0.003332
19260317,-0.007107,-0.012213,,-0.025066,-0.014207,-0.018377,-0.014789,-0.012157,-0.006094,-0.013123,-0.011675,-0.008848,-0.004648
19260318,-0.012812,-0.018166,,-0.017867,-0.026864,-0.019196,-0.021804,-0.020797,-0.016445,-0.015113,-0.011931,-0.016333,-0.010698
19260319,-0.006102,-0.006147,,-0.010322,-0.006104,-0.011124,-0.001281,-0.010105,-0.005302,-0.007877,-0.005789,-0.005210,-0.006162
19260320,0.001197,0.003667,,0.004637,0.006692,0.004936,0.001208,0.004000,0.002257,0.001926,0.002405,0.003013,0.000117
19260322,0.008321,0.008233,,-0.001094,-0.000355,0.009959,0.008121,0.013165,0.010343,0.012402,0.010692,0.007252,0.007746
19260323,-0.005796,-0.002953,,0.007974,-0.007737,-0.001935,-0.007475,-0.005401,0.000302,-0.006324,-0.004837,-0.008401,-0.005533
19260324,-0.019537,-0.023081,,-0.037908,-0.009886,-0.025282,-0.024977,-0.019916,-0.026438,-0.024745,-0.018755,-0.024901,-0.017052
19260325,-0.001508,-0.005019,,-0.009880,-0.014960,-0.003184,-0.011582,-0.004386,-0.008476,0.002082,-0.004460,0.001501,-0.001282
19260326,0.003295,0.002581,,-0.003543,0.012036,-0.000911,0.004924,0.004729,0.004097,0.001681,0.001113,0.005109,0.003121
19260327,-0.008466,-0.009246,,-0.014177,-0.007001,-0.006806,-0.007112,-0.012231,-0.013873,-0.007020,-0.009796,-0.008365,-0.008059
19260329,-0.023936,-0.029118,,-0.042076,-0.027363,-0.026515,-0.034495,-0.039751,-0.023872,-0.024730,-0.024152,-0.024090,-0.022754
19260330,-0.016563,-0.021821,,-0.015826,-0.025594,-0.025134,-0.038735,-0.024984,-0.017874,-0.020744,-0.019179,-0.021534,-0.013194
19260331,0.032359,0.030224,,0.032330,0.023715,0.022752,0.040733,0.033894,0.031720,0.024277,0.031936,0.034087,0.032649
19260401,0.008847,0.017843,,0.010483,0.023864,0.024805,0.024945,0.018812,0.015900,0.016944,0.015929,0.011269,0.004847
19260403,0.001300,0.002849,,0.002091,0.001019,0.007586,0.001324,0.006986,0.002512,0.006605,0.006151,0.000396,-0.000026
19260405,0.004735,0.007861,,0.027681,0.009067,0.000586,0.003069,0.004932,0.001688,0.003849,0.007565,0.007280,0.003766
19260406,0.009142,0.011633,,0.000187,0.022224,0.007289,0.021067,0.015829,0.009039,0.010990,0.010544,0.009711,0.007989
19260407,-0.003584,-0.001765,,-0.001211,-0.005537,-0.001056,0.001022,-0.003720,0.002698,-0.002397,-0.006057,-0.003545,-0.003779
19260408,-0.005541,-0.005304,,0.000885,-0.002237,-0.011290,-0.009797,-0.006108,-0.004269,-0.003794,-0.006795,-0.006223,-0.005179
19260409,0.000016,-0.002395,,0.000744,-0.002820,-0.006782,-0.005962,-0.001340,-0.004182,-0.000250,0.001484,-0.002352,0.001057
19260410,-0.002896,-0.000995,,0.004835,-0.004886,-0.003847,0.001925,-0.004213,0.001508,0.002770,-0.002985,-0.002711,-0.003714
19260412,-0.018504,-0.022706,,-0.023999,-0.024303,-0.021583,-0.032811,-0.022454,-0.017314,-0.024056,-0.023198,-0.019958,-0.016281
19260413,0.009197,0.005861,,-0.002194,0.005097,0.000784,0.008184,0.006436,0.001170,0.008723,0.011458,0.010279,0.009346
19260414,-0.011012,-0.007991,,0.003198,-0.011204,-0.000579,-0.001789,-0.014000,-0.008118,-0.008591,-0.015788,-0.011349,-0.010901
19260415,0.001851,-0.000283,,-0.003260,-0.007585,-0.006215,-0.000422,0.002030,-0.002276,-0.002501,0.001766,0.002377,0.002606
19260416,0.000816,0.000758,,-0.006936,0.003081,0.003936,0.003924,0.004599,0.004516,0.003358,0.002769,0.000322,-0.000001
19260417,0.001774,0.002376,,0.009397,-0.001855,-0.001548,0.000387,0.005431,0.000620,-0.000873,-0.000680,0.000473,0.002764
19260419,0.000827,-0.001779,,-0.009793,-0.005506,-0.000489,-0.000768,0.003396,-0.003639,-0.000439,0.000393,0.001794,0.001026
19260420,0.003458,0.001253,,0.000159,-0.012056,-0.000605,0.004950,0.003633,0.003275,0.004231,0.004065,0.005051,0.003069
19260421,0.013977,0.014546,,0.016399,0.018585,0.006751,0.017812,0.007519,0.015310,0.010994,0.016394,0.016677,0.013247
19260422,0.009837,0.012581,,0.011723,0.009386,0.012160,0.020851,0.016912,0.007491,0.013054,0.010184,0.010058,0.008959
19260423,0.011450,0.011699,,0.001359,0.014941,0.010387,0.010304,0.015001,0.006078,0.012167,0.009886,0.013014,0.011359
19260424,0.005819,0.004457,,0.008042,0.002924,0.002984,0.003956,0.005381,0.000683,0.000928,0.007451,0.002601,0.007304
19260426,-0.007177,-0.007319,,-0.004688,0.001066,-0.005814,-0.011758,-0.007218,-0.007549,-0.005773,-0.008829,-0.007934,-0.006804
